id,SatisfactionName,value
0,EnvironmentSatisfaction,2
1,EnvironmentSatisfaction,3
2,EnvironmentSatisfaction,4
3,EnvironmentSatisfaction,4
4,EnvironmentSatisfaction,1
5,EnvironmentSatisfaction,4
6,EnvironmentSatisfaction,3
7,EnvironmentSatisfaction,4
8,EnvironmentSatisfaction,4
9,EnvironmentSatisfaction,3
10,EnvironmentSatisfaction,1
11,EnvironmentSatisfaction,4
12,EnvironmentSatisfaction,1
13,EnvironmentSatisfaction,2
14,EnvironmentSatisfaction,3
15,EnvironmentSatisfaction,2
16,EnvironmentSatisfaction,1
17,EnvironmentSatisfaction,4
18,EnvironmentSatisfaction,1
19,EnvironmentSatisfaction,4
20,EnvironmentSatisfaction,1
21,EnvironmentSatisfaction,3
22,EnvironmentSatisfaction,1
23,EnvironmentSatisfaction,3
24,EnvironmentSatisfaction,2
25,EnvironmentSatisfaction,3
26,EnvironmentSatisfaction,2
27,EnvironmentSatisfaction,3
28,EnvironmentSatisfaction,1
29,EnvironmentSatisfaction,2
30,EnvironmentSatisfaction,3
31,EnvironmentSatisfaction,4
32,EnvironmentSatisfaction,4
33,EnvironmentSatisfaction,4
34,EnvironmentSatisfaction,2
35,EnvironmentSatisfaction,4
36,EnvironmentSatisfaction,1
37,EnvironmentSatisfaction,4
38,EnvironmentSatisfaction,2
39,EnvironmentSatisfaction,3
40,EnvironmentSatisfaction,3
41,EnvironmentSatisfaction,4
42,EnvironmentSatisfaction,1
43,EnvironmentSatisfaction,4
44,EnvironmentSatisfaction,3
45,EnvironmentSatisfaction,2
46,EnvironmentSatisfaction,2
47,EnvironmentSatisfaction,2
48,EnvironmentSatisfaction,1
49,EnvironmentSatisfaction,4
50,EnvironmentSatisfaction,1
51,EnvironmentSatisfaction,3
52,EnvironmentSatisfaction,2
53,EnvironmentSatisfaction,3
54,EnvironmentSatisfaction,3
55,EnvironmentSatisfaction,1
56,EnvironmentSatisfaction,2
57,EnvironmentSatisfaction,3
58,EnvironmentSatisfaction,4
59,EnvironmentSatisfaction,1
60,EnvironmentSatisfaction,1
61,EnvironmentSatisfaction,4
62,EnvironmentSatisfaction,2
63,EnvironmentSatisfaction,1
64,EnvironmentSatisfaction,3
65,EnvironmentSatisfaction,4
66,EnvironmentSatisfaction,2
67,EnvironmentSatisfaction,2
68,EnvironmentSatisfaction,2
69,EnvironmentSatisfaction,4
70,EnvironmentSatisfaction,1
71,EnvironmentSatisfaction,3
72,EnvironmentSatisfaction,3
73,EnvironmentSatisfaction,2
74,EnvironmentSatisfaction,2
75,EnvironmentSatisfaction,3
76,EnvironmentSatisfaction,3
77,EnvironmentSatisfaction,4
78,EnvironmentSatisfaction,1
79,EnvironmentSatisfaction,2
80,EnvironmentSatisfaction,4
81,EnvironmentSatisfaction,2
82,EnvironmentSatisfaction,1
83,EnvironmentSatisfaction,2
84,EnvironmentSatisfaction,1
85,EnvironmentSatisfaction,4
86,EnvironmentSatisfaction,3
87,EnvironmentSatisfaction,4
88,EnvironmentSatisfaction,3
89,EnvironmentSatisfaction,3
90,EnvironmentSatisfaction,3
91,EnvironmentSatisfaction,3
92,EnvironmentSatisfaction,3
93,EnvironmentSatisfaction,3
94,EnvironmentSatisfaction,2
95,EnvironmentSatisfaction,1
96,EnvironmentSatisfaction,1
97,EnvironmentSatisfaction,2
98,EnvironmentSatisfaction,4
99,EnvironmentSatisfaction,2
100,EnvironmentSatisfaction,3
101,EnvironmentSatisfaction,4
102,EnvironmentSatisfaction,4
103,EnvironmentSatisfaction,1
